,id,name,message,type,author_time
0,758c3a8a0f98d164bc1a2438b58d91d2dbd124cf,refs/tags/0.0.1,"Release 0.0.1
",1,2017-08-03 20:20:05
1,b16f477348a0f7c882b290747a6d824afb4c7521,refs/tags/0.0.2,,1,2017-08-03 20:38:50
2,1c6dd229b6ed348e4b056926cf4998e5565ca74d,refs/tags/0.0.3,"Release 0.0.3
",1,2017-08-03 21:29:13
3,0d5eae6f85bee5d596ddd8acbb2b7c98aa1c0698,refs/tags/0.0.4,"Release 0.0.4
",1,2017-08-07 22:01:15
4,61f48f644114499538d513fef9d05dfd8e4eba4f,refs/tags/0.0.5,"Release 0.0.5
",1,2017-08-24 16:57:25
5,6c3b9060426bfa9f6eae15ff6e9fbc8e3b9d5563,refs/tags/0.0.6,"Release 0.0.6
",1,2017-08-28 18:04:07
6,c8b15e454d119d13c7d7f71cd56accf5a5b7e81c,refs/tags/0.1.10,"Release 0.1.10
",1,2017-09-21 10:19:22
7,ef375489a56c88b1c600fe92b28b41bf43f30bfe,refs/tags/0.1.11,"Release 0.1.11
",1,2017-09-25 17:13:01
8,a3cb27fd7913ecb2fa67a3f6808432a4372f0ded,refs/tags/0.1.12,"Release 0.1.12
",1,2017-09-27 15:50:16
9,9bfb6e34e2e06264e7edf766c80635501db286dc,refs/tags/0.1.13,"Release 0.1.13
",1,2017-10-10 14:55:05
10,88cf6862f28aa75bcaa4e8e7d181764af60cc4e6,refs/tags/0.1.14,"Release 0.1.14
",1,2017-10-10 16:15:20
11,0ffd7e777952fce04ee2b855f4ca340a9e78dfc2,refs/tags/0.1.15,"Release 0.1.15
",1,2017-10-10 16:20:01
12,8925c94d1868b9f054fe429f16b461ab38fe2c44,refs/tags/0.1.16,"Release 0.1.16
",1,2017-10-11 15:44:52
13,67954843f52a0b3c558319334c6379f28f89fccf,refs/tags/0.1.17,"Release 0.1.17
",1,2017-10-11 21:13:13
14,da3e4a6243882936e901a0c3eb2daafc710a55a9,refs/tags/0.1.18,"Release 0.1.18
",1,2017-10-14 17:10:18
15,3181c5b6ac577b91058765784fc1f9534391ccd6,refs/tags/0.1.9,"Release 0.1.9
",1,2017-09-20 12:48:34
16,bfe50f10cc28bfadddbb23cb5f6460b24edb41b3,refs/tags/0.2.0,"Release 0.2.0
",1,2017-10-19 16:30:37
17,ccd6706c95379dc4f3e11e397ceef67bbec2d023,refs/tags/0.2.1,"Release 0.2.1
",1,2017-10-27 21:20:30
18,234bd4a6c61495fe179bb5778065430b6758ce8c,refs/tags/0.2.2,"Release 0.2.2
",1,2017-10-31 00:07:31
19,17c6018bbd2eaf6a517a4b5999003132d1f4c958,refs/tags/0.2.3,"Release 0.2.3
",1,2017-10-31 15:23:15
20,e4f06a725010b5604238f43f6b203ea4a62f730a,refs/tags/0.2.4,"Release 0.2.4
",1,2017-11-01 20:06:13
21,0940520aae80e55b0fefbaf08ff412286bb0c2b1,refs/tags/0.2.5,"Release 0.2.5
",1,2017-11-02 02:24:31
22,b4e9c33bf9b0c47698645202e7a90df2b96fcf45,refs/tags/0.2.6,"Release 0.2.6
",1,2017-11-02 22:00:21
23,d318187fc0922fe18ae7d77e9d07c84c349757ef,refs/tags/0.2.7,"Release 0.2.7
",1,2017-11-02 23:00:16
24,2acbf9f1905edd62b9530d058f503eafdfce571d,refs/tags/0.2.8,"Release 0.2.8
",1,2017-11-16 17:05:20
25,55492e31f7ab29ece588e5e4750b51801094d503,refs/tags/v0.1.2,"v0.1.2
",1,2017-09-10 23:50:22
26,ab939e70dcd69478618d7fc97e2023be7ba7ab10,refs/tags/v0.2.0-alpha.1,"v0.2.0-alpha.1
",1,2017-10-28 19:21:26
27,ae8b8c385c6c42487f6173147cfbdd57b1a1a4e0,refs/tags/v0.3.0,"v0.3.0
",1,2017-10-29 02:53:02
28,4a2217542ed74e77d97957d9d2e2ca991cbab0d8,refs/tags/v1.0.0,"v1.0.0
",1,2017-12-23 02:02:26
29,11f68ab299ddf4f308c6da700d2d65ade9a655da,refs/tags/v1.0.1,"v1.0.1
",1,2017-12-26 14:36:49
30,753bda3ca9f88be39ece0c8c6002444df63b24c1,refs/tags/v1.0.2,"v1.0.2
",1,2017-12-26 20:28:06
31,9f9e1c750036e0c6f7931ce7a203d6afcce2963b,refs/tags/v1.1.0,"v1.1.0
",1,2018-01-02 10:41:31
32,132db406d82356fb9222483572286ca7b90cb137,refs/tags/v1.2.0,"v1.2.0
",1,2018-01-05 09:55:58
33,12f9e24abd6fb8346aa76e3ffa7561bce2b1efb9,refs/tags/v1.2.1,"v1.2.1
",1,2018-01-08 15:32:49
34,0fbdd9cbe9b88260c23d9a0021b7dae6e63fd826,refs/tags/v1.2.2,"v1.2.2
",1,2018-01-08 19:07:14
35,1f6613566454707fe9e539b123b6916d410e3438,refs/tags/v1.2.3,"v1.2.3
",1,2018-01-11 09:40:47
36,366c210c49b18f0ef8de1b1907a61c03b700e904,refs/tags/v1.2.4,"v1.2.4
",1,2018-01-14 20:15:55
37,bab58c1384a8e1000a18e01e60f0b65e4c578adc,refs/tags/v1.2.5,"v1.2.5
",1,2018-01-18 13:15:49
38,c53ae57c415f3ecb70051639abc974a71d144ca4,refs/tags/v1.2.5-beta.1,"v1.2.5-beta.1
",1,2018-01-15 15:47:30
39,17be73a68a68ec03af98d856d736e3f1f72ea6de,refs/tags/v1.2.5-beta.3,"v1.2.5-beta.3
",1,2018-01-17 11:06:53
